Province/State,City,Lat,Long,3/21/2020,3/22/2020,3/23/2020,3/24/2020,Total
Gujarat,Rajkot,,,,,,,0
Gujarat,Ahemdabad,,,,,,,0
Gujarat,Surat,,,,,,,0
Gujarat,Vadodara,,,,,,,0
Gujarat,Gandhinagar,,,,,,,0
Gujarat,Rajkot,,,,,,,0
Gujarat,Ahemdabad,,,,,,,0
Gujarat,Surat,,,,,,,0
Gujarat,Vadodara,,,,,,,0
Gujarat,Gandhinagar,,,,,,,0
Gujarat,Rajkot,,,,,,,0
Gujarat,Ahemdabad,,,,,,,0
Gujarat,Surat,,,,,,,0
Gujarat,Vadodara,,,,,,,0
Gujarat,Gandhinagar,,,,,,,0
Gujarat,Rajkot,,,,,,,0
Gujarat,Ahemdabad,,,,,,,0
Gujarat,Surat,,,,,,,0
Gujarat,Vadodara,,,,,,,0
Gujarat,Gandhinagar,,,,,,,0
Gujarat,Rajkot,,,,,,,0
Gujarat,Ahemdabad,,,,,,,0
Gujarat,Surat,,,,,,,0
Gujarat,Vadodara,,,,,,,0
Gujarat,Gandhinagar,,,,,,,0
Gujarat,Rajkot,,,,,,,0
Gujarat,Ahemdabad,,,,,,,0
Gujarat,Surat,,,,,,,0
Gujarat,Vadodara,,,,,,,0
Gujarat,Gandhinagar,,,,,,,0
